training_id,provider_id,carrier_id,assigned_date,completed_date,status
TRN-000409,PRV-0170,CAR-007,2025-08-17,,pending
TRN-000410,PRV-0170,CAR-003,2026-08-02,2026-08-13,completed
TRN-000411,PRV-0171,CAR-009,2025-10-30,2025-11-03,completed
TRN-000412,PRV-0171,CAR-007,2026-04-26,,pending
TRN-000413,PRV-0172,CAR-001,2025-10-04,2025-10-29,completed
TRN-000414,PRV-0172,CAR-007,2026-04-11,2026-04-12,completed
TRN-000415,PRV-0173,CAR-009,2025-10-14,2025-10-19,completed
TRN-000416,PRV-0173,CAR-005,2026-07-24,2026-07-31,completed
TRN-000417,PRV-0174,CAR-002,2025-11-25,2025-12-03,completed
TRN-000418,PRV-0174,CAR-010,2026-04-13,,pending
TRN-000419,PRV-0175,CAR-001,2025-11-16,2025-12-10,completed
TRN-000420,PRV-0175,CAR-006,2025-12-31,,pending
TRN-000421,PRV-0175,CAR-002,2026-07-13,2026-08-03,completed
TRN-000422,PRV-0176,CAR-005,2025-10-16,2025-10-18,completed
TRN-000423,PRV-0177,CAR-008,2026-01-09,2026-01-14,completed
TRN-000424,PRV-0177,CAR-010,2025-12-06,2025-12-30,completed
TRN-000425,PRV-0177,CAR-003,2026-04-29,2026-05-04,completed
TRN-000426,PRV-0177,CAR-009,2025-11-10,2025-11-13,completed
TRN-000427,PRV-0178,CAR-005,2026-04-13,,pending
TRN-000428,PRV-0178,CAR-006,2026-05-01,2026-05-05,completed
TRN-000429,PRV-0179,CAR-001,2025-08-17,,pending
TRN-000430,PRV-0179,CAR-005,2026-02-07,2026-02-09,completed
TRN-000431,PRV-0180,CAR-008,2025-10-04,,pending
TRN-000432,PRV-0180,CAR-007,2025-11-07,,pending
TRN-000433,PRV-0180,CAR-004,2026-04-22,,pending
TRN-000434,PRV-0180,CAR-002,2025-08-20,,not_required
TRN-000435,PRV-0181,CAR-006,2026-04-28,,pending
TRN-000436,PRV-0181,CAR-002,2026-06-12,2026-06-23,completed
TRN-000437,PRV-0181,CAR-010,2026-08-13,2026-08-31,completed
TRN-000438,PRV-0181,CAR-007,2026-01-18,,pending
TRN-000439,PRV-0182,CAR-005,2025-10-04,2025-10-16,completed
TRN-000440,PRV-0182,CAR-001,2025-09-11,,pending
TRN-000441,PRV-0182,CAR-006,2026-01-04,2026-01-28,completed
TRN-000442,PRV-0182,CAR-008,2026-05-11,2026-06-05,completed
TRN-000443,PRV-0183,CAR-007,2025-09-23,2025-09-29,completed
TRN-000444,PRV-0183,CAR-008,2025-12-09,2025-12-26,completed
TRN-000445,PRV-0183,CAR-003,2026-07-05,2026-07-21,completed
TRN-000446,PRV-0184,CAR-010,2025-10-06,2025-10-13,completed
TRN-000447,PRV-0184,CAR-003,2026-05-27,,pending
TRN-000448,PRV-0185,CAR-006,2026-05-19,2026-05-25,completed
TRN-000449,PRV-0185,CAR-002,2025-10-04,2025-10-16,completed
TRN-000450,PRV-0185,CAR-007,2026-08-15,2026-08-19,completed
TRN-000451,PRV-0186,CAR-006,2025-10-08,2025-10-18,completed
TRN-000452,PRV-0186,CAR-007,2026-02-27,2026-03-17,completed
TRN-000453,PRV-0187,CAR-004,2025-08-20,2025-08-26,completed
TRN-000454,PRV-0187,CAR-005,2026-04-11,,pending
TRN-000455,PRV-0187,CAR-003,2026-01-25,2026-02-03,completed
TRN-000456,PRV-0187,CAR-006,2026-05-08,2026-05-27,completed
TRN-000457,PRV-0188,CAR-010,2026-04-03,,pending
TRN-000458,PRV-0188,CAR-001,2025-10-11,,pending
TRN-000459,PRV-0189,CAR-007,2026-01-14,2026-01-27,completed
TRN-000460,PRV-0189,CAR-003,2026-04-25,2026-05-06,completed
TRN-000461,PRV-0189,CAR-008,2026-06-27,,pending
TRN-000462,PRV-0189,CAR-001,2025-09-17,2025-10-06,completed
TRN-000463,PRV-0190,CAR-007,2025-09-22,2025-10-02,completed
TRN-000464,PRV-0190,CAR-004,2026-05-19,,pending
TRN-000465,PRV-0190,CAR-003,2026-03-20,2026-03-28,completed
TRN-000466,PRV-0191,CAR-001,2026-01-04,,pending
TRN-000467,PRV-0192,CAR-010,2026-08-04,2026-08-16,completed
TRN-000468,PRV-0193,CAR-009,2025-12-10,2025-12-20,completed
TRN-000469,PRV-0193,CAR-003,2025-10-07,,pending
TRN-000470,PRV-0194,CAR-002,2025-11-26,,not_required
TRN-000471,PRV-0195,CAR-007,2025-09-16,,pending
TRN-000472,PRV-0195,CAR-001,2026-03-07,2026-03-08,completed
TRN-000473,PRV-0196,CAR-008,2026-03-24,,pending
TRN-000474,PRV-0196,CAR-010,2026-03-27,2026-04-05,completed
TRN-000475,PRV-0197,CAR-002,2026-05-29,,not_required
TRN-000476,PRV-0197,CAR-007,2026-04-26,,pending
TRN-000477,PRV-0197,CAR-001,2026-06-23,2026-06-30,completed
TRN-000478,PRV-0197,CAR-004,2026-04-14,,pending
TRN-000479,PRV-0198,CAR-001,2025-12-05,2025-12-11,completed
TRN-000480,PRV-0198,CAR-010,2026-02-22,2026-03-08,completed
TRN-000481,PRV-0198,CAR-006,2026-02-19,2026-03-05,completed
TRN-000482,PRV-0199,CAR-004,2026-05-17,2026-05-24,completed
TRN-000483,PRV-0199,CAR-002,2025-12-03,,pending
TRN-000484,PRV-0200,CAR-001,2025-09-05,,pending
TRN-000485,PRV-DUP-01,CAR-005,2026-07-11,2026-07-18,completed
TRN-000486,PRV-DUP-01,CAR-002,2026-08-01,,pending
TRN-000487,PRV-DUP-01,CAR-007,2026-02-14,2026-02-23,completed
TRN-000488,PRV-DUP-02,CAR-002,2025-09-27,2025-10-13,completed
TRN-000489,PRV-DUP-02,CAR-004,2026-02-15,,pending
TRN-000490,PRV-DUP-02,CAR-008,2026-03-22,2026-04-03,completed
TRN-000491,PRV-DUP-03,CAR-007,2026-02-26,,pending
TRN-000492,PRV-DUP-03,CAR-001,2026-08-09,,pending
TRN-000493,PRV-DUP-03,CAR-010,2026-08-13,,pending
TRN-000494,PRV-DUP-03,CAR-008,2026-07-24,2026-07-26,completed
TRN-000495,PRV-DUP-04,CAR-007,2025-10-04,2025-10-15,completed
TRN-000496,PRV-DUP-04,CAR-002,2026-06-28,2026-07-16,completed
TRN-000497,PRV-DUP-04,CAR-008,2026-03-13,2026-03-16,completed
TRN-000498,PRV-DUP-05,CAR-010,2025-12-28,,pending
TRN-000499,PRV-DUP-05,CAR-004,2026-04-23,2026-04-29,completed
TRN-000500,PRV-DUP-05,CAR-003,2026-05-23,2026-05-31,completed
TRN-000501,PRV-DUP-05,CAR-008,2026-08-01,2026-08-10,completed
TRN-000502,PRV-DUP-06,CAR-002,2026-05-25,2026-06-06,completed
TRN-000503,PRV-DUP-06,CAR-008,2025-08-23,2025-09-03,completed
TRN-000504,PRV-DUP-06,CAR-003,2025-09-10,,pending
TRN-000505,PRV-DUP-07,CAR-010,2025-11-20,,pending
TRN-000506,PRV-DUP-07,CAR-005,2025-08-31,2025-09-12,completed
TRN-000507,PRV-DUP-07,CAR-008,2025-09-08,,pending
TRN-000508,PRV-DUP-07,CAR-009,2026-06-01,,pending
TRN-000509,PRV-DUP-08,CAR-004,2026-02-18,2026-03-09,completed
TRN-000510,PRV-DUP-08,CAR-007,2026-04-04,2026-04-27,completed
TRN-000511,PRV-DUP-08,CAR-003,2026-02-16,2026-02-23,completed
